Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5
04/09/2026,Ipswich Town,Liverpool,5.00,4.00,1.65,1.85,1.95
05/09/2026,Newcastle United,AFC Bournemouth,1.85,3.80,4.20,1.75,2.05
05/09/2026,Brentford,Sunderland,2.10,3.50,3.40,1.90,1.90
05/09/2026,Brighton & Hove Albion,Leeds United,1.95,3.60,3.80,1.80,2.00
05/09/2026,Fulham,Crystal Palace,2.50,3.30,2.90,1.95,1.85
05/09/2026,Manchester City,Coventry City,1.28,5.50,11.00,1.50,2.50
05/09/2026,Nottingham Forest,Tottenham Hotspur,3.20,3.40,2.30,1.90,1.90
05/09/2026,Hull City,Aston Villa,3.80,3.60,1.95,1.85,1.95
06/09/2026,Everton,Manchester United,3.00,3.40,2.35,1.80,2.00
06/09/2026,Arsenal,Chelsea,2.20,3.30,3.30,1.85,1.95
